LEVEL,PART NO.,Design No.,QPA,Part Type,DESCRIPTION,MFG PART,Vendor PN,ITEM TEXT
1,P043038034Z00110,4PCS/箱,0.25,外箱,外箱 425X375X335mm   材質K=K  正嘜雙面印刷內容,,,
1,P041040003B00100,2PCS/箱,0.5,隔板,隔板 410*365*3mm 材質:B33,,,
1,P035019002P00100,,1,珍珠棉,珍珠棉蓋板 料號:D900BCCP10 350*190*15mm 白色,,,
1,P035019002P00200,,1,珍珠棉,珍珠棉底盒 料號:D900BCCP00 350*190*130mm 白色,,,
1,P036020016A00110,,1,牛皮盒,牛皮盒 360X200X155mm 材質：A3瓦坑紙  扣底式,,,
1,MPKCMNPRT0011N10,48PCS/1PCS,0.0208,棧板,塑膠棧板 L1200*W1000*150mm   PE新料 TP-網格田字型21#  藍色  動承載能力：0.8噸 靜載：3噸 符合ROHS 免檢出口專用,,,
1,P065005001B00100,48PCS/4PCS,0.0833,紙護角,紙護角 650*50*50*5mm 紙質  ROHS,,,
1,P075005001B00101,48PCS/2PCS,0.0417,紙護角,紙護角 750*50*50*5mm 紙質  ROHS,,,
1,P100005001B00102,48PCS/2PCS,0.0417,紙護角,紙護角 1000*50*50*5mm 紙質  ROHS,,,
1,WMA03120WD00011T,台規AC線,1,AC線,台規AC線 C14 11A/125V VCTF 3x1.25mm² BLK 1.2m,,,
1,911CQ010011100F0,,1,充電器,CQ01001 D900BC-B12S181A 49.8V/18A/900W充電器,,,
2,C07130MSSLD00N00,,1,插頭.插座,C14 AC 連接器+開關,R-301SN(79),富灣,
2,MPNCMNPRT0011N10,,4,插頭.插座,PCB板間隔柱  MOUNTING HOLE ￠3.0 / PCB THICKNESS 1.6 / 撐高長度8mm / M3X0.5P SCBD-8V0(B),,康揚,
2,FDA060250B000F0T,,2,風扇,12V 0.26A / 60*60*25mm / 線長250mm 加套管/ 轉數6500  JST XH 2.5mm 3P,A160251MBO305000 (GD0601000360 ),日信,
2,WNN03007JJ00011T,For SLED10,1,訊號線,24AWG XH-3A 兩端PH2.5 L=70MM 白色端子,XH-3A,JST,
2,WNN02010JJ00011T,FOR CN11,1,訊號線,24AWG XH-2A 兩端PH2.5 正反 L=100MM 白色端子,XH-2A,JST,
2,MHCCQ01001011F10,,1,外殼,900W 機殼底座 D900BCC101-01/材質：SGCC 電解板 表面單面噴粉黑色,,誠響,
2,MHTCQ01001011F10,,1,外殼,900W 機殼上蓋 D900BCC200-01/材質：SGCC 電解板 表面單面噴粉黑色,,誠響,
2,MHPCQ01001011F10,,1,外殼,900W 機殼側蓋 D900BCC300-01/材質：SGCC 電解板 表面單面噴粉黑色,,誠響,
2,MPNCQ01001011F10,,1,外殼,900W 伸縮塑膠把手  孔距167mm/黑色 塑膠(IF-TTC-22-200),,英菲電器,
2,MRSCMNPRT0031F10,,4,絕緣料其它類,橡膠腳墊 帶不銹鋼墊片 黑色 17*14*10*4*8,,萬葉,
2,PB14905900001F10,,1,粘貼銘牌,粘貼銘牌 D900BC-B12S181A_L00 119X44mm 厚度0.13MMT 消銀龍 啞膜 耐溫130度 黑底白字 TUE/LOGO,,,
2,SMM040L15FT02010,鎖把手,2,五金件,黑色十字沉頭螺絲 M4*15mm + M4螺母,,瑩邦,
2,STM050L12TR02010,鎖風扇,8,五金件,黑色大扁頭十字傘頭自攻螺 M5*12mm,,瑩邦,
2,SMM030L05FT02010,鎖外殼,10,五金件,黑色十字小沉頭螺絲 M3*5mm,,瑩邦,
2,SNM030T24H550110,AC INLET,2,五金件,M3螺母,,瑩邦,
2,SMM030L05PJ01010,鎖PCB、地線、鎖鐵殼側板、AC INLET,19,五金件,"螺絲/PM3*5mm/圓頭/碳鋼,鍍鎳",,瑩邦,
2,SMM030L06PJ01010,鎖腳墊,4,五金件,"螺絲/PM3*6mm/圓頭/碳鋼,鍍鎳",,瑩邦,
2,882C22B010801000,,1,組裝半成品,PCBA D900BC-B12S181A 49.8V/18A/900W PWR BD,,,
3,1010302531100HF0,,1,PCB板,C22B01-08 244*154*1.6mm 雙面板 FR-4 94V-0 2oz L-F HASL 綠油白字/600W,,啟懋,
3,1130100020210HF0,PC10,1,光耦合器件(貼片式),PHOTOCOUPLER CTR:200 to 400% SSOP-4,EL3H7(C)(TA)-G,億光,
3,1130100140210HF0,PC11.PC12,2,光耦合器件(貼片式),PHOTOCOUPLER CTR:200 to 400% SOP-4,EL1019(TA)-VG,億光,
3,1070200230800HFT,SU10.U12.U13,3,貼片IC,431 AZ431AN-ATRE1 ±0.4% SOT-23,TL431,龍駒微科,
3,1070201140200HFT,SU11,1,貼片IC,PSR AC/DC Switch OP-7,OB2500PCPA,昂寶,
3,1070202124900HFT,SU12,1,貼片IC,MCU  HT45F5Q-3 24 SSOP-A,HT45F5Q-3,華瑞昇,
3,1070202050300HFT,U10,1,貼片IC,MPS6924A  SOP-8,MPS6924A,MPS,
3,1070202490500HFT,U11,1,貼片IC,TEA2017AAT/2YC01 SOP-16,TEA2017AAT/2YC01,文曄,
3,1080101391200HFT,Q26,1,場效應管(貼片式),N-MOS 0.31A/60V SOT-23,LM7002KNEI3A ,Lead Power,
3,1080201401200HFT,SQ11,1,場效應管(貼片式),P-MOS -3.4A/-30V SOT-23,LM30598PLI3A,Lead Power,
3,1040300120600HFT,D12.D18.D19.D20.D21.D26.SD11.SD12.SD14.SD15.SD16,11,貼片二極管,200V 1A trr 35ns SOD-123,ES1D ,矽潤,
3,10403470700HF0,D13.D15.D16.D17,4,貼片二極管,100V 0.25A trr 4ns SOD-323,BAS316  ,矽潤,
3,1040101175900HFT,D14.SD17.SD18,3,貼片二極管,Schottky Diode 1A/100V SOD-123FL,K110 ,矽潤,
3,1040900052000HFT,D22,1,貼片二極管,1A/1000V SMA(DO-214AC,US1M  ,矽潤,
3,1040301938200HFT,D23,1,貼片二極管,75V 150mA SOT-323,BAV99W ,矽潤,
3,1040100011700HFT,SD10,1,貼片二極管,3A/100V SMAF,SS310FL,矽潤,
3,1040900050600HFT,SD13,1,貼片二極管,1A/1KV  SOD-123,1N4007(A7) ,矽潤,
3,1040500480600HFT,SZD10.ZD13,2,貼片二極管,13V 0.5W SOD-123,MM1Z13,矽潤,
3,1040501990600HFT,ZD10,1,貼片二極管,30V 0.5W  SOD-123,MM1Z30,矽潤,
3,1040500530600HFT,ZD12,1,貼片二極管,24V 0.5W SOD-123,MM1Z24,矽潤,
3,1040500500600HFT,ZD11,1,貼片二極管,15V 0.5W SOD-123,MM1Z15,矽潤,
3,1050200330200HF0,Q10.Q19.Q24.SQ10.SQ13.Q25,6,貼片三極管,NPN 1A/100V 1W SOT-89,FCX493U ,Formosa MS,
3,1050200230300HF0,Q20.SQ12,2,貼片三極管,NPN 0.6A/60V SOT-23 ,MMBT2222(1P) ,矽潤,
3,1050200170300HF0,Q23,1,貼片三極管,PNP -0.6A/-60V SOT-23,MMBT2907(2F) ,矽潤,
3,2200801300500HF0,BC10.BC11,2,貼片電感,Bead core Z=470Ω @1MHz,NCP201209T-301Y,峰磁,
3,1030100R02340HF0,D28.R83.R97.R100.R103.R90,6,貼片電阻,0Ω±5% 1206 1/4W,,業茂,
3,103011K002240HF0,R10.R11.R18.R70.R71.R73.R74.SR11.SR12.SR31.SR37.SR55,12,貼片電阻,1K±5% 0805  1/8W,,業茂,
3,103011K002340HF0,R12.R50,2,貼片電阻,1K±5% 1206  1/4W,,業茂,
3,1030122R02320HF0,R13.R24.R30.R31,4,貼片電阻,22Ω±1% 1206  1/4W,,業茂,
3,1030115K02240HF0,R14.R45.R53.R54.SR13.SR40,6,貼片電阻,15K±5% 0805  1/8W,,業茂,
3,1030168R02320HF0,R16.R27,2,貼片電阻,68Ω±1% 1206  1/4W,,業茂,
3,1030110K02240HF0,"R17.R20.R21.R22.R28.R56.R59.R72.R81,SR14,SR18,SR41,SR50",13,貼片電阻,10K±5% 0805  1/8W,,業茂,
3,103012R202320HF0,R19.R82,2,貼片電阻,2.2Ω±1% 1206  1/4W,,業茂,
3,10301R0150620HF0,R23.R25.R29.R75,0,貼片電阻,晶片超低阻合金電阻0.015Ω 1% 2512 3W  TYPE: MCR,,世盟,
3,10301R0150621HF0,R23.R25.R29.R75,4,貼片電阻,晶片超低阻合金電阻0.015Ω 1% 2512 3W  TYPE: LMR,,藍寶,
3,1030122K02240HF0,R26,1,貼片電阻,22K±5% 0805   1/8W,,業茂,
3,1030147R02320HF0,R15.R80.R92.R95,4,貼片電阻,47Ω±1% 1206  1/4W,,業茂,
3,103016M202320HF0,R32.R41.R48.R85.R86,5,貼片電阻,6.2M±1% 1206  1/4W,,業茂,
3,103018M202320HF0,R33.R42,2,貼片電阻,8.2M±1% 1206  1/4W,,業茂,
3,10301R0250620HF0,R34.R36.R40.R43,0,貼片電阻,晶片超低阻合金電阻0.025Ω1% 2512 3W TYPE: MCR,,世盟,
3,10301R0250621HF0,R34.R36.R40.R43,4,貼片電阻,晶片超低阻合金電阻0.025Ω1% 2512 3W TYPE: LMR,,藍寶,
3,1030151K02220HF0,R35,1,貼片電阻,51K±1% 0805  1/8W,,業茂,
3,103012R702240HF0,R37,1,貼片電阻,2.7Ω±5% 0805  1/8W,,業茂,
3,1030147R02321HF0,R38.R39.,2,貼片電阻,47Ω±1% 1206  1/4W,,業茂,
3,1030110R02320HF0,SR10,1,貼片電阻,10Ω±1% 1206  1/4W,,業茂,
3,10301300K2320HF0,R47,1,貼片電阻,300K±1% 1206  1/4W,,業茂,
3,10301100R2240HF0,R52.R58,2,貼片電阻,100Ω±5% 0805  1/8W,,業茂,
3,1030100R02240HF0,R55.R61.SR28.SR38.BC12.BC13.SR29,7,貼片電阻,0Ω±5% 0805  1/8W,,業茂,
3,10301187K2220HF0,R57,1,貼片電阻,187K±1% 0805  1/8W,,業茂,
3,103013K302220HF0,R60.SR36,2,貼片電阻,3.3K±1% 0805  1/8W,,業茂,
3,103012M702320HF0,R62.R63,2,貼片電阻,2.7M±1% 1206  1/4W,,業茂,
3,1030147K02240HF0,R64.SR45,2,貼片電阻,47K±5% 0805  1/8W,,業茂,
3,10301220K2320HF0,R65,1,貼片電阻,220K ±1% 1206  1/4W,,業茂,
3,103016R202240HF0,R66,1,貼片電阻,6.2Ω±5% 0805  1/8W,,業茂,
3,1030120K02240HF0,SR49,1,貼片電阻,20K±5% 0805  1/8W,,業茂,
3,1030118K02220HF0,R67,1,貼片電阻,18K±1% 0805  1/8W,,業茂,
3,103019K102220HF0,R68,1,貼片電阻,9.1K±1% 0805  1/8W,,業茂,
3,1030110R02240HF0,R77.SR23,2,貼片電阻,10Ω±5% 0805  1/8W,,業茂,
3,103012M002320HF0,SR15.SR20,2,貼片電阻,2M±1% 1206  1/4W,,業茂,
3,10301430K2340HF0,SR16,1,貼片電阻,430K±5% 1206  1/4W,,業茂,
3,103014K702240HF0,SR17.SR44.SR46.SR47.SR51.SR52.SR53.SR54.SR27,9,貼片電阻,4.7K±5% 0805  1/8W,,業茂,
3,103011R202320HF0,SR19,1,貼片電阻,1.2Ω±1% 1206  1/4W,,業茂,
3,10301150R2340HF0,SR21,1,貼片電阻,150Ω±5% 1206  1/4W,,業茂,
3,103011R302320HF0,SR22,1,貼片電阻,1.3Ω±1% 1206  1/4W,,業茂,
3,103014R702240HF0,SR24,1,貼片電阻,4.7Ω±5% 0805  1/8W,,業茂,
3,1030117K82220HF0,SR25,1,貼片電阻,17.8K±1% 0805  1/8W,,業茂,
3,10301787K2220HF0,SR26.SR30,2,貼片電阻,787K±1% 0805  1/8W  高精密薄膜晶片電阻器,,業茂,
3,1030178K72220HF0,SR33,1,貼片電阻,78.7K±1% 0805  1/8W 高精密薄膜晶片電阻器,,業茂,
3,1030156K02220HF0,SR34.SR39,2,貼片電阻,56K±1% 0805  1/8W 高精密薄膜晶片電阻器,,業茂,
3,103013K602220HF0,SR43,1,貼片電阻,3.6K±1% 0805 1/8W 高精密薄膜晶片電阻器,,業茂,
3,10301220K2240HF0,SR48,1,貼片電阻,220K±5% 0805  1/8W,,業茂,
3,10301100R2340HF0,SR57.SR58.SR59.R104.R105,5,貼片電阻,100Ω±5% 1206  1/4W,,業茂,
3,1026068PJ9220HF0,C11.C22.,2,貼片電容,68PF/1KV±5% NPO 1206,,業茂,
3,1026047PJ9220HF0,C13.C14,2,貼片電容,47PF/1KV±5% NPO 1206,,業茂,
3,102610N0K0220HF0,C20.C62,2,貼片電容,103K/1KV±10% X7R 1206 軟端子,,業茂,
3,102601N0J9220HF0,C21.C53.C61.SC10.SC11,5,貼片電容,102J/1KV±5% NPO 1206,,業茂,
3,1026100NK9060HF0,C30.C38.C42.C51.SC17.SC23.SC24.SC26.SC28.SC30.SC34.SC37,12,貼片電容,104K/50V±10% X7R 0805 厚度0.8mm,,業茂,
3,102601N0K9060HF0,C26.C29.C48.C50.C54.SC19.SC33.SC36,8,貼片電容,102K/50V±10% X7R 0805,,業茂,
3,1026100NK0080HF0,C27,1,貼片電容,104K/100V±10% X7R 1206,,業茂,
3,102647N0K9060HF0,C36.C52.SC29,3,貼片電容,473K/50V±10% X7R 0805,,業茂,
3,102601U0K9060HF0,C40,1,貼片電容,105K/50V±10% X7R 0805,,業茂,
3,1026100PJ9060HF0,C44,1,貼片電容,101J/50V±5% NPO 0805,,業茂,
3,102604N7K9060HF0,C46,1,貼片電容,472K/50V±10% X7R 0805,,業茂,
3,102602N2J9060HF0,C47,1,貼片電容,222J/50V±5% NPO 0805,,業茂,
3,1026100PJ9220HF0,C49,1,貼片電容,101J/1KV±5% NPO 1206,,業茂,
3,1026680NK9060HF0,C55,1,貼片電容,684K/50V±10% X7R 1206,,業茂,
3,102610N0J9060HF0,C56,1,貼片電容,103J/50V±5% NPO 0805,,業茂,
3,102622N0J9060HF0,C57,1,貼片電容,223J/50V±5% NPO 0805,,業茂,
3,102608N2J9060HF0,C58,1,貼片電容,822J/50V±5% NPO 0805,,業茂,
3,102610U0K9030HF0,SC22,1,貼片電容,10UF/16V±10% X7R 0805,,業茂,
3,1026220PJ9220HF0,SC40.SC41.SC42.C64.C65,5,貼片電容,221J/1KV±5% X7R 1206,,業茂,
3,1031201R03060HF0,NTC10,1,電阻,熱敏電阻 Imax 13A / Max. Load Cap. 1000uF@240V,JNR20S1R0M17YU4,Joyin,
3,1 03 08 XXXX XX X 0HF0,MOV10,1,電阻,壓敏電阻  VDR 14D471K* 高能量 P=7.5mm 腳長3.5-4.5mm 雷擊6KV 藍色 (阻值??),,金享,
3,102401U0KA140HF0,"CX10,CX11",2,電容,X2電容 1UF/300V ±10﹪ P=15mm 18*18.5*11mm 腳長3.5-4mm,,金享,
3,102933N0JA220HFT,C25.C28,2,電容,金屬化聚丙烯膜電容 PMD 0.033uF±5% 1000V 耐溫105°18*12.0*6.0 P=15mm 腳長3.5-4mm 灰色,,金享,
3,102947N0JA220HFT,C24,1,電容,金屬化聚丙烯膜電容 PMD 0.047uF±5% 1000V 耐溫105°18*13.5*7.5 P=15mm 腳長3.5-4mm 灰色,,金享,
3,102902U2J9190HFT,C15.C16,2,電容,薄膜電容 MMP 225J／450V 耐溫125° W18*T10*H18 P=15mm 腳長3.5-4,,業茂,
3,102502N2MA170HF0,CY19.CY20,2,電容,Y1電容 JT222M/400V P=10mm AI編帶工藝 藍色,, JEC,
3,102501N0MA170HF0,CY12.CY13,2,電容,Y1電容 JT102M/400V±20% P=10mm AI編帶工藝 藍色,, JEC,
3,1025220PMA170HF0,CY10.CY16.CY17.CY11.CY18,5,電容,Y1電容 JT221M/400V P=10mm AI編帶工藝 藍色,, JEC,
3,102502N2MA171HF0,CY21,1,電容,Y1電容 JT222M/400V P=10mm AI編帶工藝 藍色,, JEC,
3,1021330UM5190HFT,C17.C18,2,電容,電解電容 330uF/450V ±20% 105℃ ￠30*35mm 腳距:10mm 5KH,PG2W331MND3035MRY,金山,
3,1021560UM5080HFT,C31.C32.C33.C34,4,電容,電解電容 560uF/100V ±20% 105℃ ￠18*35mm 腳距:7.5mm 5KH MF series,,Su'scon,
3,1021220UM5080HFT,SC38,1,電容,電解電容 220uF/100V ±20% 105℃ ￠13*25mm 腳距:5.0mm 5KH MF series ,,Su'scon,
3,1021470UM5030HFT,SC14,1,電容,電解電容 470uF/16V ±20% 105℃ ￠8*16mm 腳距:3.5mm 5KH HF series ,,Su'scon,
3,1021330UM5030HFT,SC15,1,電容,電解電容 330uF/16V ±20% 105℃ ￠8*12mm 腳距:3.5mm 5KH HF series ,,Su'scon,
3,1021100UM5060HFT,C12.SC16,2,電容,電解電容 100uF/50V ±20% 105℃ ￠8*12mm 腳距:3.5mm 5KH,EJ1H101MCM0812F5,金山,
3,102147U0M5060HFT,C37.C43.C45.SC13.SC18.SC31.SC32,7,電容,電解電容 47uF/50V ±20% 105℃ ￠6.3*11mm 腳距:2.5mm 5KH,EY1H470MCM6311RU,金山,
3,1021220UM5070HFT,C39,1,電容,電解電容 220uF/63V ±20% 105℃ ￠10*25mm 腳距:5.0mm 5KH HF series ,,Su'scon,
3,102110U0M5190HFT,SC12,1,電容,電解電容 10uF/450V ±20% 105℃ ￠10*20mm 腳距:5.0mm 5KH SEA series ,,Su'scon,
3,102112U0M4070HFT,SC20,1,電容,電解電容 12uF/63V ±20% 105℃ ￠5*11mm 腳距:2.0mm  4KH HF series ,,Su'scon,
3,1040701311600HFT,D11,1,二極體,SiC Diode 20A/650V TO-247-2L,FC06020E-2,FSS,
3,1040902066800HFT,D27,1,二極體,Schottky Diode 10A/1KV  R-6,10A10,矽潤,
3,2213600470200HF0,ST10,1,高頻變壓器,高頻變壓器 EE2217 Lm  800uH,,晨朗,
3,2213600480200HF0,T11,1,高頻變壓器,高頻變壓器 EPC54 雙槽Bobbin Lm : 550uH LK : 55uH,,晨朗,
3,1093006720500HF0,F10,1,保險絲,陶瓷慢斷雙帽保險絲 5H 15A/250V5*20  帶引腳(長腳),,旭程,
3,MBNCMNPRT0000N10,F10,1,套管.LED支架,J4T8 56,,,
3,1080101412300HFT,Q12.Q13.Q11.Q16,4,場效應管,40A/650V TO-220F-3L RDS ON 72mΩ,SJMN088R65F ,AUK,
3,1080101560400HFT,Q14.Q22,2,場效應管,80A/150V TO-220F RDS ON 9.6mΩ,PDF130ND15BH,Potens,
3,1080101570400HFT,Q17.Q18,2,場效應管,95A/100V TO-220F RDS ON 3.6mΩ,PDF09C2BH ,Potens,
3,1041002248300HFT,BD10,1,整流橋堆,整流橋堆 35A/1000V GBJ3510A,GBJ3510A,矽潤,
3,MRNCMNPRT0000N10,FOR D11,1,絕緣片,矽膠片  26*21*0.3MM (TO-247),,海新電子,
3,MHHCQ01001011F10,HS1.HS2.HS3,5,散熱器,I型散熱器 40mm*50mm*6mm T=2.0mm 材質：鋁 C22B01H100-01,,同潤,
3,MHHCQ01001020F10,HS4.HS5,2,散熱器,散熱器 62mm*15mm*43mm T=3.0mm 材質：鋁 C22B01H200-00,,同潤,
3,MHHCQ01001032F10,HS1,1,散熱器,L型散熱器  38mm*58mm*44.5mm T=3.0mm 材質：鋁 C22B01H300-02,,同潤,
3,MHHCQ01001042F10,HS2,1,散熱器,L型散熱器  35.5mm*46mm*43mm T=3.0mm 材質：鋁 C22B01H400-02,,同潤,
3,MHHCQ01001052F10,HS3,1,散熱器,L型散熱器  50mm*46mm*43mm T=3.0mm 材質：鋁 C22B01H500-02,,同潤,
3,WNW01028MX00011T,L,1,電子線,1430  16AWG 280mm 一端加187端子  另一端加板機端子  棕色,,恒輝鑫,
3,WNW01028MX00011T,N,1,電子線,1430  16AWG 280mm 一端加187端子  另一端加板機端子  藍色,,恒輝鑫,
3,WNW01014MX00011T,FG,1,電子線,1430  16AWG 135mm 一端加187端子  另一端加圓環端子 4.3*8.0 黃綠色,,恒輝鑫,
3,MBNCMNPRT0010N10,CM11,1,套管.LED支架,UL熱縮套管  ￠35*43mm 黑色  125℃,,,
3,MBNCMNPRT0020N10,CM12/套DC線/LN線,3,套管.LED支架,UL熱縮套管  ￠30*35mm 黑色  125℃,,,
3,MBNCMNPRT0030N10,套地線,1,套管.LED支架,UL熱縮套管  ￠25*35mm 黑色  125℃,,,
3,2200700900500HF0,Q11 D級（中間pin腳）/D11兩腳 / CY19 /CY20,5,電感,"空芯磁珠 25M 20Ω,100M 60Ω ￠4.1*2.0*4mm",N80RH041040016 ,峰磁,
3,2201601030500HF0,CM11,1,電感,共差模電感 0.6T*2.0mm 1UEW 扁平線 30TS L=5mH MIN,IN3433-B,詠騰,
3,2201201040500HFT,CM12,1,電感,共模電感 T31*16*8，R10K，￠1.4mm*9.5Ts L＞1mH 加熱縮套管,LCL-13109 HA,晨朗,
3,2201201070500HFT,CM20,1,電感,共模電感 鎳鋅/800ui/19*11*11mm，￠1mm*3Ts，L＞10uH,YT-506010uH,詠騰,
3,2200201050300HFT,L10,1,電感,環形電感 BS130060 USTC￠0.1*130*61.5Ts  L=235μH±10%,LH231A HA,晨朗,
3,2200201060300HFT,L11,1,電感,環形電感 BS130060×2 USTC￠0.1*130*61.5Ts  L=470μH±10%,LH471B HA,晨朗,
3,2200701070500HF0,套地線繞一圈,1,電感,環形EMI電感 19*11*11mm （25Mhz25 (MIN) OHM）/（100MHz55 (MIN) OHM）材質：鎳鋅鐵芯/800ui,A8I190110110,詠騰,
3,2200701330500HF0,LN線3圈,1,電感,環形EMI電感 25*12*15mm （25Mhz35 (MIN) OHM）/（100MHz70 (MIN) OHM）材質：鎳鋅鐵芯/800ui,A8I250120150,詠騰,
3,2200701340500HF0,LN線3圈,0,電感,環形EMI電感 28*13*16mm （25Mhz35 (MIN) OHM）/（100MHz70 (MIN) OHM）材質：鎳鋅鐵芯/800ui,N80RI280130160,銓芯,
3,C06254MSDIP00N00,SCN10,1,插頭.插座,排針端子 單排單塑排針 排針間距2.54mm  1*6P,,潤煌,
3,C02250FSCLP00N00,,1,插頭.插座,NTC線組 10KΩ±1% B25/50=3950K±1% / AWG24 線長170mm / JST XH 2.5mm 2P,,業茂,
3,C02250MSDIP00N00,SNTC10、SCN13,2,插頭.插座,XH-2A 2.5mm 立式 白色,XH-2A ,JST,
3,C03250MSDIP00N00,SCN11.SCN12,2,插頭.插座,XH-3A 2.5mm 立式 白色,XH-3A ,JST,
3,C03250MSDIP00N00,SLED10,1,插頭.插座,XH-3A 2.5mm 立式 紅色,XH-3A ,JST,
3,SMM030L05PJ01010,鎖熱片C22B01H100-01、Q12、Q13、Q11、Q16、Q14、Q22、Q17、Q18,18,五金件,"螺絲/PM3*5mm/圓頭/碳鋼,鍍鎳",,瑩邦,
3,SMM030L06PJ01010,鎖BD10,1,五金件,"螺絲/PM3*6mm/圓頭/碳鋼,鍍鋅",,瑩邦,
3,SMM030L08PJ01010,鎖D11,1,五金件,"螺絲/PM3*8mm/圓頭/碳鋼,鍍鋅",,瑩邦,
3,772SLD6200000HF0,,0.03,白膠,單租分室溫硫化矽橡膠 導熱係數2,SLD-6200,新亞,
3,WNW02015XX00011T,,1,DC線,AWG12 1015 輸出線 150mm 一端撥4mm鍍錫3mm 另一端接TW60-M端子,TW2507006,萬旭,
2,882S254040201000,,1,組裝半成品,PCBA D900BC-B12S181A 49.8V/18A/900W BS BD,,,
3,1010302531101HF0,,1,PCB,S25404-02 70*48*1.6mm 雙面板 FR-4 94V-0 2oz L-F HASL綠油白字,,啟懋,
3,103014K702241HF0,"R1, R2, R10",3,貼片電阻,4.7K±5% 0805 1/8W,,業茂,
3,1030110K02241HF0,"R13, R16, R18",3,貼片電阻,10K±5% 0805 1/8W,,業茂,
3,10301100R2241HF0,R19,1,貼片電阻,100Ω±5% 0805 1/8W,,業茂,
3,1030120R02320HF0,"R20, R21, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34",13,貼片電阻,20Ω±1% 1206 1/4W,,業茂,
3,10301470R2240HF0,R37,1,貼片電阻,470Ω±5% 0805 1/8W,,業茂,
3,1030120R02620HF0,"R46, R48, R50, R52, R54, R56, R58, R60, R62, R64, R66, R68",12,貼片電阻,厚膜高功率晶片電阻 20Ω 1% 2512 2W,,業茂,
3,1030100R02341HF0,"R88, R89",2,貼片電阻,0Ω±5% 1206 1/4W,,業茂,
3,10301100K2240HF0,R38,1,貼片電阻,100K±5% 0805 1/8W,,業茂,
3,103011K002241HF0,"R74, R75, R76, R77, R78, R79, R80, R81, R82, R83, R84, R85",12,貼片電阻,1K±5% 0805 1/8W,,業茂,
3,1026100NK9061HF0,"C3, C7",2,貼片電容,104K/50V±10% X7R 0805,,業茂,
3,102604U7K9060HF0,"C4, C5, C8",3,貼片電容,475K/50V±10% X5R 0805,,業茂,
3,1026220NK9060HF0,"C9, C10, C11, C12, C14, C15, C16, C17, C19, C20, C21, C22, C23",13,貼片電容,224K/50V±10% X7R 0805,,業茂,
3,1030100R02241HF0,"C13, C18",2,貼片電容,0Ω±5% 0805 1/8W,,業茂,
3,102601U0K9061HF0,C26,1,貼片電容,105K/50V±10% X7R 0805,,業茂,
3,1040100955900HFT,"D3, D4",2,貼片二極管,Schottky Diode 1A/100V SOD-123FL,K110,矽潤,
3,1050200330201HFT,Q10,1,貼片三極管,NPN 1A/100V 1W SOT-89,FCX493U,Formosa MS,
3,1040502040600HFT,"ZD15, ZD16, ZD17, ZD18, ZD19, ZD20, ZD21, ZD22, ZD23, ZD24, ZD25, ZD26",12,穩壓二極管(貼片式),Zener Diodes 10V 0.5W SOD-123 ,MM1Z10,矽潤,
3,1130100020211HF0,"PC10,PC11",2,光耦合器(貼片式),PHOTOCOUPLER CTR:200 to 400% SSOP-4,EL3H7(C)(TA)-G,億光,
3,1080101581200HFT,"Q15, Q16, Q17, Q18, Q19, Q20, Q21, Q22, Q23, Q24, Q25, Q26",12,場效應管(貼片式),N-MOS 5.1A/20V SOT-23,LM20260NLI3A,Lead Power,
3,1070202124900HFT,U1,1,貼片IC,MCU  HT45F5Q-3 24 SSOP-A,HT45F5Q-3,HOLTEK,
3,1070202745800HFT,U2,1,貼片IC,3-Series to 16-Series Battery Monitor IC TQFP,BQ7695202,TI,
3,1040603490000HFT,"LED1, LED2",2,LED燈,￠5 紅綠雙色共陽極  3P 白色霧面,YJ-3009UEUGW1/A,億晶,
3,CXX254MSDIP00N00,CN2,1,插頭.插座,排針端子 單排單塑排針 間距2.54mm 1*6P,,潤煌,
3,C02250MSDIP00N00,"CN3,CN5",2,插頭.插座,XH-2A 1*2P 2.5mm 立式 白色,XH-2A ,JST,
3,C03250MSDIP00N00,CN1,1,插頭.插座,XH-3A 1*3P 2.5mm 立式 白色,XH-3A ,JST,
3,C13250MSDIP00N00,CN6,1,插頭.插座,XH-13A 1*13P 2.5mm 立式 白色,XH-13A,JST,
2,822S254010001000,,1,組裝半成品,PCBA D900BC-B12S181A 49.8V/18A/900W TW60 BD,,,
3,1010302531102HF0,,1,PCB,S25401-00 45*25*1.6mm 雙面板 FR-4 94V-0 2oz L-F HASL綠油白字,,啟懋,
3,C02720MSDIP00N00,CN10,1,插頭.插座,板端連接器 TW60B-M ,TW60B-M,世宇,
3,C02720FMDIP00N00,CN11,1,插頭.插座,板端連接器 TW60B-F,TW60B-F,世宇,
