Part No.,Part Type,Description,QPA,Level,Qty per Batch (100pcs),Total Qty
P043038034Z00110,外箱,外箱 425X375X335mm   材質K=K  正嘜雙面印刷內容,0.25,1,100,25.0
P041040003B00100,隔板,隔板 410*365*3mm 材質:B33,0.5,1,100,50.0
P035019002P00100,珍珠棉,珍珠棉蓋板 料號:D900BCCP10 350*190*15mm 白色,1,1,100,100
P035019002P00200,珍珠棉,珍珠棉底盒 料號:D900BCCP00 350*190*130mm 白色,1,1,100,100
P036020016A00110,牛皮盒,牛皮盒 360X200X155mm 材質：A3瓦坑紙  扣底式,1,1,100,100
MPKCMNPRT0011N10,棧板,塑膠棧板 L1200*W1000*150mm   PE新料 TP-網格田字型21#  藍色  動承載能力：0.8噸 靜載：3噸 符合ROHS 免檢出口專用,0.0208,1,100,2.08
P065005001B00100,紙護角,紙護角 650*50*50*5mm 紙質  ROHS,0.0833,1,100,8.33
P075005001B00101,紙護角,紙護角 750*50*50*5mm 紙質  ROHS,0.0417,1,100,4.17
P100005001B00102,紙護角,紙護角 1000*50*50*5mm 紙質  ROHS,0.0417,1,100,4.17
WMA03120WD00011T,AC線,台規AC線 C14 11A/125V VCTF 3x1.25mm² BLK 1.2m,1,1,100,100
911CQ010011100F0,充電器,CQ01001 D900BC-B12S181A 49.8V/18A/900W充電器,1,1,100,100
C07130MSSLD00N00,插頭.插座,C14 AC 連接器+開關,1,2,100,100
MPNCMNPRT0011N10,插頭.插座,PCB板間隔柱  MOUNTING HOLE ￠3.0 / PCB THICKNESS 1.6 / 撐高長度8mm / M3X0.5P SCBD-8V0(B),4,2,100,400
FDA060250B000F0T,風扇,12V 0.26A / 60*60*25mm / 線長250mm 加套管/ 轉數6500  JST XH 2.5mm 3P,2,2,100,200
WNN03007JJ00011T,訊號線,24AWG XH-3A 兩端PH2.5 L=70MM 白色端子,1,2,100,100
WNN02010JJ00011T,訊號線,24AWG XH-2A 兩端PH2.5 正反 L=100MM 白色端子,1,2,100,100
MHCCQ01001011F10,外殼,900W 機殼底座 D900BCC101-01/材質：SGCC 電解板 表面單面噴粉黑色,1,2,100,100
MHTCQ01001011F10,外殼,900W 機殼上蓋 D900BCC200-01/材質：SGCC 電解板 表面單面噴粉黑色,1,2,100,100
MHPCQ01001011F10,外殼,900W 機殼側蓋 D900BCC300-01/材質：SGCC 電解板 表面單面噴粉黑色,1,2,100,100
MPNCQ01001011F10,外殼,900W 伸縮塑膠把手  孔距167mm/黑色 塑膠(IF-TTC-22-200),1,2,100,100
MRSCMNPRT0031F10,絕緣料其它類,橡膠腳墊 帶不銹鋼墊片 黑色 17*14*10*4*8,4,2,100,400
PB14905900001F10,粘貼銘牌,粘貼銘牌 D900BC-B12S181A_L00 119X44mm 厚度0.13MMT 消銀龍 啞膜 耐溫130度 黑底白字 TUE/LOGO,1,2,100,100
SMM040L15FT02010,五金件,黑色十字沉頭螺絲 M4*15mm + M4螺母,2,2,100,200
STM050L12TR02010,五金件,黑色大扁頭十字傘頭自攻螺 M5*12mm,8,2,100,800
SMM030L05FT02010,五金件,黑色十字小沉頭螺絲 M3*5mm,10,2,100,1000
SNM030T24H550110,五金件,M3螺母,2,2,100,200
SMM030L05PJ01010,五金件,"螺絲/PM3*5mm/圓頭/碳鋼,鍍鎳",19,2,100,1900
SMM030L06PJ01010,五金件,"螺絲/PM3*6mm/圓頭/碳鋼,鍍鎳",4,2,100,400
882C22B010801000,組裝半成品,PCBA D900BC-B12S181A 49.8V/18A/900W PWR BD,1,2,100,100
1010302531100HF0,PCB板,C22B01-08 244*154*1.6mm 雙面板 FR-4 94V-0 2oz L-F HASL 綠油白字/600W,1,3,100,100
1130100020210HF0,光耦合器件(貼片式),PHOTOCOUPLER CTR:200 to 400% SSOP-4,1,3,100,100
1130100140210HF0,光耦合器件(貼片式),PHOTOCOUPLER CTR:200 to 400% SOP-4,2,3,100,200
1070200230800HFT,貼片IC,431 AZ431AN-ATRE1 ±0.4% SOT-23,3,3,100,300
1070201140200HFT,貼片IC,PSR AC/DC Switch OP-7,1,3,100,100
1070202124900HFT,貼片IC,MCU  HT45F5Q-3 24 SSOP-A,1,3,100,100
1070202050300HFT,貼片IC,MPS6924A  SOP-8,1,3,100,100
1070202490500HFT,貼片IC,TEA2017AAT/2YC01 SOP-16,1,3,100,100
1080101391200HFT,場效應管(貼片式),N-MOS 0.31A/60V SOT-23,1,3,100,100
1080201401200HFT,場效應管(貼片式),P-MOS -3.4A/-30V SOT-23,1,3,100,100
1040300120600HFT,貼片二極管,200V 1A trr 35ns SOD-123,11,3,100,1100
10403470700HF0,貼片二極管,100V 0.25A trr 4ns SOD-323,4,3,100,400
1040101175900HFT,貼片二極管,Schottky Diode 1A/100V SOD-123FL,3,3,100,300
1040900052000HFT,貼片二極管,1A/1000V SMA(DO-214AC,1,3,100,100
1040301938200HFT,貼片二極管,75V 150mA SOT-323,1,3,100,100
1040100011700HFT,貼片二極管,3A/100V SMAF,1,3,100,100
1040900050600HFT,貼片二極管,1A/1KV  SOD-123,1,3,100,100
1040500480600HFT,貼片二極管,13V 0.5W SOD-123,2,3,100,200
1040501990600HFT,貼片二極管,30V 0.5W  SOD-123,1,3,100,100
1040500530600HFT,貼片二極管,24V 0.5W SOD-123,1,3,100,100
1040500500600HFT,貼片二極管,15V 0.5W SOD-123,1,3,100,100
1050200330200HF0,貼片三極管,NPN 1A/100V 1W SOT-89,6,3,100,600
1050200230300HF0,貼片三極管,NPN 0.6A/60V SOT-23 ,2,3,100,200
1050200170300HF0,貼片三極管,PNP -0.6A/-60V SOT-23,1,3,100,100
2200801300500HF0,貼片電感,Bead core Z=470Ω @1MHz,2,3,100,200
1030100R02340HF0,貼片電阻,0Ω±5% 1206 1/4W,6,3,100,600
103011K002240HF0,貼片電阻,1K±5% 0805  1/8W,12,3,100,1200
103011K002340HF0,貼片電阻,1K±5% 1206  1/4W,2,3,100,200
1030122R02320HF0,貼片電阻,22Ω±1% 1206  1/4W,4,3,100,400
1030115K02240HF0,貼片電阻,15K±5% 0805  1/8W,6,3,100,600
1030168R02320HF0,貼片電阻,68Ω±1% 1206  1/4W,2,3,100,200
1030110K02240HF0,貼片電阻,10K±5% 0805  1/8W,13,3,100,1300
103012R202320HF0,貼片電阻,2.2Ω±1% 1206  1/4W,2,3,100,200
10301R0150620HF0,貼片電阻,晶片超低阻合金電阻0.015Ω 1% 2512 3W  TYPE: MCR,0,3,100,0
10301R0150621HF0,貼片電阻,晶片超低阻合金電阻0.015Ω 1% 2512 3W  TYPE: LMR,4,3,100,400
1030122K02240HF0,貼片電阻,22K±5% 0805   1/8W,1,3,100,100
1030147R02320HF0,貼片電阻,47Ω±1% 1206  1/4W,4,3,100,400
103016M202320HF0,貼片電阻,6.2M±1% 1206  1/4W,5,3,100,500
103018M202320HF0,貼片電阻,8.2M±1% 1206  1/4W,2,3,100,200
10301R0250620HF0,貼片電阻,晶片超低阻合金電阻0.025Ω1% 2512 3W TYPE: MCR,0,3,100,0
10301R0250621HF0,貼片電阻,晶片超低阻合金電阻0.025Ω1% 2512 3W TYPE: LMR,4,3,100,400
1030151K02220HF0,貼片電阻,51K±1% 0805  1/8W,1,3,100,100
103012R702240HF0,貼片電阻,2.7Ω±5% 0805  1/8W,1,3,100,100
1030147R02321HF0,貼片電阻,47Ω±1% 1206  1/4W,2,3,100,200
1030110R02320HF0,貼片電阻,10Ω±1% 1206  1/4W,1,3,100,100
10301300K2320HF0,貼片電阻,300K±1% 1206  1/4W,1,3,100,100
10301100R2240HF0,貼片電阻,100Ω±5% 0805  1/8W,2,3,100,200
1030100R02240HF0,貼片電阻,0Ω±5% 0805  1/8W,7,3,100,700
10301187K2220HF0,貼片電阻,187K±1% 0805  1/8W,1,3,100,100
103013K302220HF0,貼片電阻,3.3K±1% 0805  1/8W,2,3,100,200
103012M702320HF0,貼片電阻,2.7M±1% 1206  1/4W,2,3,100,200
1030147K02240HF0,貼片電阻,47K±5% 0805  1/8W,2,3,100,200
10301220K2320HF0,貼片電阻,220K ±1% 1206  1/4W,1,3,100,100
103016R202240HF0,貼片電阻,6.2Ω±5% 0805  1/8W,1,3,100,100
1030120K02240HF0,貼片電阻,20K±5% 0805  1/8W,1,3,100,100
1030118K02220HF0,貼片電阻,18K±1% 0805  1/8W,1,3,100,100
103019K102220HF0,貼片電阻,9.1K±1% 0805  1/8W,1,3,100,100
1030110R02240HF0,貼片電阻,10Ω±5% 0805  1/8W,2,3,100,200
103012M002320HF0,貼片電阻,2M±1% 1206  1/4W,2,3,100,200
10301430K2340HF0,貼片電阻,430K±5% 1206  1/4W,1,3,100,100
103014K702240HF0,貼片電阻,4.7K±5% 0805  1/8W,9,3,100,900
103011R202320HF0,貼片電阻,1.2Ω±1% 1206  1/4W,1,3,100,100
10301150R2340HF0,貼片電阻,150Ω±5% 1206  1/4W,1,3,100,100
103011R302320HF0,貼片電阻,1.3Ω±1% 1206  1/4W,1,3,100,100
103014R702240HF0,貼片電阻,4.7Ω±5% 0805  1/8W,1,3,100,100
1030117K82220HF0,貼片電阻,17.8K±1% 0805  1/8W,1,3,100,100
10301787K2220HF0,貼片電阻,787K±1% 0805  1/8W  高精密薄膜晶片電阻器,2,3,100,200
1030178K72220HF0,貼片電阻,78.7K±1% 0805  1/8W 高精密薄膜晶片電阻器,1,3,100,100
1030156K02220HF0,貼片電阻,56K±1% 0805  1/8W 高精密薄膜晶片電阻器,2,3,100,200
103013K602220HF0,貼片電阻,3.6K±1% 0805 1/8W 高精密薄膜晶片電阻器,1,3,100,100
10301220K2240HF0,貼片電阻,220K±5% 0805  1/8W,1,3,100,100
10301100R2340HF0,貼片電阻,100Ω±5% 1206  1/4W,5,3,100,500
1026068PJ9220HF0,貼片電容,68PF/1KV±5% NPO 1206,2,3,100,200
1026047PJ9220HF0,貼片電容,47PF/1KV±5% NPO 1206,2,3,100,200
102610N0K0220HF0,貼片電容,103K/1KV±10% X7R 1206 軟端子,2,3,100,200
102601N0J9220HF0,貼片電容,102J/1KV±5% NPO 1206,5,3,100,500
1026100NK9060HF0,貼片電容,104K/50V±10% X7R 0805 厚度0.8mm,12,3,100,1200
102601N0K9060HF0,貼片電容,102K/50V±10% X7R 0805,8,3,100,800
1026100NK0080HF0,貼片電容,104K/100V±10% X7R 1206,1,3,100,100
102647N0K9060HF0,貼片電容,473K/50V±10% X7R 0805,3,3,100,300
102601U0K9060HF0,貼片電容,105K/50V±10% X7R 0805,1,3,100,100
1026100PJ9060HF0,貼片電容,101J/50V±5% NPO 0805,1,3,100,100
102604N7K9060HF0,貼片電容,472K/50V±10% X7R 0805,1,3,100,100
102602N2J9060HF0,貼片電容,222J/50V±5% NPO 0805,1,3,100,100
1026100PJ9220HF0,貼片電容,101J/1KV±5% NPO 1206,1,3,100,100
1026680NK9060HF0,貼片電容,684K/50V±10% X7R 1206,1,3,100,100
102610N0J9060HF0,貼片電容,103J/50V±5% NPO 0805,1,3,100,100
102622N0J9060HF0,貼片電容,223J/50V±5% NPO 0805,1,3,100,100
102608N2J9060HF0,貼片電容,822J/50V±5% NPO 0805,1,3,100,100
102610U0K9030HF0,貼片電容,10UF/16V±10% X7R 0805,1,3,100,100
1026220PJ9220HF0,貼片電容,221J/1KV±5% X7R 1206,5,3,100,500
1031201R03060HF0,電阻,熱敏電阻 Imax 13A / Max. Load Cap. 1000uF@240V,1,3,100,100
1 03 08 XXXX XX X 0HF0,電阻,壓敏電阻  VDR 14D471K* 高能量 P=7.5mm 腳長3.5-4.5mm 雷擊6KV 藍色 (阻值??),1,3,100,100
102401U0KA140HF0,電容,X2電容 1UF/300V ±10﹪ P=15mm 18*18.5*11mm 腳長3.5-4mm,2,3,100,200
102933N0JA220HFT,電容,金屬化聚丙烯膜電容 PMD 0.033uF±5% 1000V 耐溫105°18*12.0*6.0 P=15mm 腳長3.5-4mm 灰色,2,3,100,200
102947N0JA220HFT,電容,金屬化聚丙烯膜電容 PMD 0.047uF±5% 1000V 耐溫105°18*13.5*7.5 P=15mm 腳長3.5-4mm 灰色,1,3,100,100
102902U2J9190HFT,電容,薄膜電容 MMP 225J／450V 耐溫125° W18*T10*H18 P=15mm 腳長3.5-4,2,3,100,200
102502N2MA170HF0,電容,Y1電容 JT222M/400V P=10mm AI編帶工藝 藍色,2,3,100,200
102501N0MA170HF0,電容,Y1電容 JT102M/400V±20% P=10mm AI編帶工藝 藍色,2,3,100,200
1025220PMA170HF0,電容,Y1電容 JT221M/400V P=10mm AI編帶工藝 藍色,5,3,100,500
102502N2MA171HF0,電容,Y1電容 JT222M/400V P=10mm AI編帶工藝 藍色,1,3,100,100
1021330UM5190HFT,電容,電解電容 330uF/450V ±20% 105℃ ￠30*35mm 腳距:10mm 5KH,2,3,100,200
1021560UM5080HFT,電容,電解電容 560uF/100V ±20% 105℃ ￠18*35mm 腳距:7.5mm 5KH MF series,4,3,100,400
1021220UM5080HFT,電容,電解電容 220uF/100V ±20% 105℃ ￠13*25mm 腳距:5.0mm 5KH MF series ,1,3,100,100
1021470UM5030HFT,電容,電解電容 470uF/16V ±20% 105℃ ￠8*16mm 腳距:3.5mm 5KH HF series ,1,3,100,100
1021330UM5030HFT,電容,電解電容 330uF/16V ±20% 105℃ ￠8*12mm 腳距:3.5mm 5KH HF series ,1,3,100,100
1021100UM5060HFT,電容,電解電容 100uF/50V ±20% 105℃ ￠8*12mm 腳距:3.5mm 5KH,2,3,100,200
102147U0M5060HFT,電容,電解電容 47uF/50V ±20% 105℃ ￠6.3*11mm 腳距:2.5mm 5KH,7,3,100,700
1021220UM5070HFT,電容,電解電容 220uF/63V ±20% 105℃ ￠10*25mm 腳距:5.0mm 5KH HF series ,1,3,100,100
102110U0M5190HFT,電容,電解電容 10uF/450V ±20% 105℃ ￠10*20mm 腳距:5.0mm 5KH SEA series ,1,3,100,100
102112U0M4070HFT,電容,電解電容 12uF/63V ±20% 105℃ ￠5*11mm 腳距:2.0mm  4KH HF series ,1,3,100,100
1040701311600HFT,二極體,SiC Diode 20A/650V TO-247-2L,1,3,100,100
1040902066800HFT,二極體,Schottky Diode 10A/1KV  R-6,1,3,100,100
2213600470200HF0,高頻變壓器,高頻變壓器 EE2217 Lm  800uH,1,3,100,100
2213600480200HF0,高頻變壓器,高頻變壓器 EPC54 雙槽Bobbin Lm : 550uH LK : 55uH,1,3,100,100
1093006720500HF0,保險絲,陶瓷慢斷雙帽保險絲 5H 15A/250V5*20  帶引腳(長腳),1,3,100,100
MBNCMNPRT0000N10,套管.LED支架,J4T8 56,1,3,100,100
1080101412300HFT,場效應管,40A/650V TO-220F-3L RDS ON 72mΩ,4,3,100,400
1080101560400HFT,場效應管,80A/150V TO-220F RDS ON 9.6mΩ,2,3,100,200
1080101570400HFT,場效應管,95A/100V TO-220F RDS ON 3.6mΩ,2,3,100,200
1041002248300HFT,整流橋堆,整流橋堆 35A/1000V GBJ3510A,1,3,100,100
MRNCMNPRT0000N10,絕緣片,矽膠片  26*21*0.3MM (TO-247),1,3,100,100
MHHCQ01001011F10,散熱器,I型散熱器 40mm*50mm*6mm T=2.0mm 材質：鋁 C22B01H100-01,5,3,100,500
MHHCQ01001020F10,散熱器,散熱器 62mm*15mm*43mm T=3.0mm 材質：鋁 C22B01H200-00,2,3,100,200
MHHCQ01001032F10,散熱器,L型散熱器  38mm*58mm*44.5mm T=3.0mm 材質：鋁 C22B01H300-02,1,3,100,100
MHHCQ01001042F10,散熱器,L型散熱器  35.5mm*46mm*43mm T=3.0mm 材質：鋁 C22B01H400-02,1,3,100,100
MHHCQ01001052F10,散熱器,L型散熱器  50mm*46mm*43mm T=3.0mm 材質：鋁 C22B01H500-02,1,3,100,100
WNW01028MX00011T,電子線,1430  16AWG 280mm 一端加187端子  另一端加板機端子  棕色,1,3,100,100
WNW01028MX00011T,電子線,1430  16AWG 280mm 一端加187端子  另一端加板機端子  藍色,1,3,100,100
WNW01014MX00011T,電子線,1430  16AWG 135mm 一端加187端子  另一端加圓環端子 4.3*8.0 黃綠色,1,3,100,100
MBNCMNPRT0010N10,套管.LED支架,UL熱縮套管  ￠35*43mm 黑色  125℃,1,3,100,100
MBNCMNPRT0020N10,套管.LED支架,UL熱縮套管  ￠30*35mm 黑色  125℃,3,3,100,300
MBNCMNPRT0030N10,套管.LED支架,UL熱縮套管  ￠25*35mm 黑色  125℃,1,3,100,100
2200700900500HF0,電感,"空芯磁珠 25M 20Ω,100M 60Ω ￠4.1*2.0*4mm",5,3,100,500
2201601030500HF0,電感,共差模電感 0.6T*2.0mm 1UEW 扁平線 30TS L=5mH MIN,1,3,100,100
2201201040500HFT,電感,共模電感 T31*16*8，R10K，￠1.4mm*9.5Ts L＞1mH 加熱縮套管,1,3,100,100
2201201070500HFT,電感,共模電感 鎳鋅/800ui/19*11*11mm，￠1mm*3Ts，L＞10uH,1,3,100,100
2200201050300HFT,電感,環形電感 BS130060 USTC￠0.1*130*61.5Ts  L=235μH±10%,1,3,100,100
2200201060300HFT,電感,環形電感 BS130060×2 USTC￠0.1*130*61.5Ts  L=470μH±10%,1,3,100,100
2200701070500HF0,電感,環形EMI電感 19*11*11mm （25Mhz25 (MIN) OHM）/（100MHz55 (MIN) OHM）材質：鎳鋅鐵芯/800ui,1,3,100,100
2200701330500HF0,電感,環形EMI電感 25*12*15mm （25Mhz35 (MIN) OHM）/（100MHz70 (MIN) OHM）材質：鎳鋅鐵芯/800ui,1,3,100,100
2200701340500HF0,電感,環形EMI電感 28*13*16mm （25Mhz35 (MIN) OHM）/（100MHz70 (MIN) OHM）材質：鎳鋅鐵芯/800ui,0,3,100,0
C06254MSDIP00N00,插頭.插座,排針端子 單排單塑排針 排針間距2.54mm  1*6P,1,3,100,100
C02250FSCLP00N00,插頭.插座,NTC線組 10KΩ±1% B25/50=3950K±1% / AWG24 線長170mm / JST XH 2.5mm 2P,1,3,100,100
C02250MSDIP00N00,插頭.插座,XH-2A 2.5mm 立式 白色,2,3,100,200
C03250MSDIP00N00,插頭.插座,XH-3A 2.5mm 立式 白色,2,3,100,200
C03250MSDIP00N00,插頭.插座,XH-3A 2.5mm 立式 紅色,1,3,100,100
SMM030L05PJ01010,五金件,"螺絲/PM3*5mm/圓頭/碳鋼,鍍鎳",18,3,100,1800
SMM030L06PJ01010,五金件,"螺絲/PM3*6mm/圓頭/碳鋼,鍍鋅",1,3,100,100
SMM030L08PJ01010,五金件,"螺絲/PM3*8mm/圓頭/碳鋼,鍍鋅",1,3,100,100
772SLD6200000HF0,白膠,單租分室溫硫化矽橡膠 導熱係數2,0.03,3,100,3.0
WNW02015XX00011T,DC線,AWG12 1015 輸出線 150mm 一端撥4mm鍍錫3mm 另一端接TW60-M端子,1,3,100,100
882S254040201000,組裝半成品,PCBA D900BC-B12S181A 49.8V/18A/900W BS BD,1,2,100,100
1010302531101HF0,PCB,S25404-02 70*48*1.6mm 雙面板 FR-4 94V-0 2oz L-F HASL綠油白字,1,3,100,100
103014K702241HF0,貼片電阻,4.7K±5% 0805 1/8W,3,3,100,300
1030110K02241HF0,貼片電阻,10K±5% 0805 1/8W,3,3,100,300
10301100R2241HF0,貼片電阻,100Ω±5% 0805 1/8W,1,3,100,100
1030120R02320HF0,貼片電阻,20Ω±1% 1206 1/4W,13,3,100,1300
10301470R2240HF0,貼片電阻,470Ω±5% 0805 1/8W,1,3,100,100
1030120R02620HF0,貼片電阻,厚膜高功率晶片電阻 20Ω 1% 2512 2W,12,3,100,1200
1030100R02341HF0,貼片電阻,0Ω±5% 1206 1/4W,2,3,100,200
10301100K2240HF0,貼片電阻,100K±5% 0805 1/8W,1,3,100,100
103011K002241HF0,貼片電阻,1K±5% 0805 1/8W,12,3,100,1200
1026100NK9061HF0,貼片電容,104K/50V±10% X7R 0805,2,3,100,200
102604U7K9060HF0,貼片電容,475K/50V±10% X5R 0805,3,3,100,300
1026220NK9060HF0,貼片電容,224K/50V±10% X7R 0805,13,3,100,1300
1030100R02241HF0,貼片電容,0Ω±5% 0805 1/8W,2,3,100,200
102601U0K9061HF0,貼片電容,105K/50V±10% X7R 0805,1,3,100,100
1040100955900HFT,貼片二極管,Schottky Diode 1A/100V SOD-123FL,2,3,100,200
1050200330201HFT,貼片三極管,NPN 1A/100V 1W SOT-89,1,3,100,100
1040502040600HFT,穩壓二極管(貼片式),Zener Diodes 10V 0.5W SOD-123 ,12,3,100,1200
1130100020211HF0,光耦合器(貼片式),PHOTOCOUPLER CTR:200 to 400% SSOP-4,2,3,100,200
1080101581200HFT,場效應管(貼片式),N-MOS 5.1A/20V SOT-23,12,3,100,1200
1070202124900HFT,貼片IC,MCU  HT45F5Q-3 24 SSOP-A,1,3,100,100
1070202745800HFT,貼片IC,3-Series to 16-Series Battery Monitor IC TQFP,1,3,100,100
1040603490000HFT,LED燈,￠5 紅綠雙色共陽極  3P 白色霧面,2,3,100,200
CXX254MSDIP00N00,插頭.插座,排針端子 單排單塑排針 間距2.54mm 1*6P,1,3,100,100
C02250MSDIP00N00,插頭.插座,XH-2A 1*2P 2.5mm 立式 白色,2,3,100,200
C03250MSDIP00N00,插頭.插座,XH-3A 1*3P 2.5mm 立式 白色,1,3,100,100
C13250MSDIP00N00,插頭.插座,XH-13A 1*13P 2.5mm 立式 白色,1,3,100,100
822S254010001000,組裝半成品,PCBA D900BC-B12S181A 49.8V/18A/900W TW60 BD,1,2,100,100
1010302531102HF0,PCB,S25401-00 45*25*1.6mm 雙面板 FR-4 94V-0 2oz L-F HASL綠油白字,1,3,100,100
C02720MSDIP00N00,插頭.插座,板端連接器 TW60B-M ,1,3,100,100
C02720FMDIP00N00,插頭.插座,板端連接器 TW60B-F,1,3,100,100
